Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,VIP
39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0001_01,Europa,False,B/0/P,TRAPPIST-1e,False
24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,0002_01,Earth,False,F/0/S,TRAPPIST-1e,False
58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0003_01,Europa,False,A/0/S,TRAPPIST-1e,True
33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0003_02,Europa,False,A/0/S,TRAPPIST-1e,False
16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,0004_01,Earth,False,F/1/S,TRAPPIST-1e,False
44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,0005_01,Earth,False,F/0/P,PSO J318.5-22,False
26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,0006_01,Earth,False,F/2/S,TRAPPIST-1e,False
28.0,0.0,0.0,0.0,0.0,304.8547912992357,Candra Jacostaffey,0006_02,Earth,True,G/0/S,TRAPPIST-1e,False
35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,0007_01,Earth,False,F/3/S,TRAPPIST-1e,False
14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,0008_01,Europa,True,B/1/P,55 Cancri e,False
34.0,0.0,0.0,173.72916912197996,0.0,0.0,Altardr Flatic,0008_02,Europa,True,B/1/P,TRAPPIST-1e,False
45.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,0008_03,Europa,False,B/1/P,55 Cancri e,False
32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,0009_01,Mars,False,F/1/P,TRAPPIST-1e,False
48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0010_01,Earth,False,G/1/S,TRAPPIST-1e,False
28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,0011_01,Earth,False,F/2/P,TRAPPIST-1e,False
31.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0012_01,Earth,False,missing,TRAPPIST-1e,False
27.0,1286.0,122.0,173.72916912197996,0.0,0.0,Flats Eccle,0014_01,Mars,False,F/3/P,55 Cancri e,False
24.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0015_01,Earth,False,F/4/P,55 Cancri e,False
45.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,0016_01,Mars,True,F/5/P,TRAPPIST-1e,False
